,CITY_ID,SHEM_YISHU,N_05-09,N_05-08,N_05-07,N_05-06,N_05-05,N_05-04,N_05-03,N_05-02,N_05-01,N_04-30,N_04-29,N_04-28,N_04-27,N_04-26,N_04-25,N_04-24,N_04-23,N_04-22,N_04-21,N_04-20,N_04-19,N_04-18,N_04-17,N_04-16,N_04-15,N_04-14,N_04-13,N_04-12,N_04-11,N_04-10,N_04-09,N_04-08,N_04-07,N_04-06,N_04-05,N_04-04,N_04-03,N_04-02,N_04-01,N_03-31,N_03-30,N_03-29,N_03-28,N_03-27,N_03-26,N_03-25,N_03-24,N_03-23,N_03-22,N_03-21,N_03-20,N_03-19,N_03-18,N_03-17,N_03-16
47,1205.0,רחובות,2358.0,2406.0,2459.0,2364.0,2384.0,2413.0,2426.0,2407.0,2455.0,2488.0,2647.0,2832.0,3082.0,3056.0,2947.0,3052.0,3157.0,3071.0,3120.0,2976.0,3048.0,3210.0,3315.0,3438.0,3455.0,3510.0,3773.0,4150.0,4287.0,4446.0,4298.0,4471.0,4440.0,4213.0,3896.0,3809.0,3657.0,3683.0,3671.0,3543.0,3092.0,2641.0,2408.0,2231.0,2054.0,1859.0,2014.0,2446.0,2975.0,3000.0,2756.0,2539.0,2095.0,1529.0,1078.0
48,1206.0,רמלה,219.0,224.0,228.0,,,,,,,,235.0,280.0,372.0,356.0,325.0,330.0,336.0,288.0,256.0,,,249.0,253.0,277.0,266.0,317.0,381.0,506.0,523.0,555.0,537.0,677.0,641.0,590.0,451.0,387.0,385.0,379.0,265.0,256.0,228.0,,,,,,,,,,,,,,
49,1207.0,רמת גן,3257.0,3294.0,3349.0,2974.0,2978.0,2863.0,2749.0,2571.0,2631.0,2631.0,2928.0,3372.0,4097.0,4016.0,3663.0,3731.0,3842.0,3469.0,3232.0,2608.0,2574.0,2836.0,2958.0,3227.0,3221.0,3410.0,3815.0,4471.0,4716.0,4913.0,4694.0,5279.0,5185.0,4962.0,4507.0,4574.0,4432.0,4409.0,4004.0,3846.0,3343.0,2756.0,2196.0,2037.0,1835.0,1520.0,1617.0,1875.0,2163.0,1962.0,1654.0,1504.0,1216.0,762.0,500.0
50,1208.0,רעננה,2186.0,2227.0,2265.0,1972.0,1980.0,1856.0,1805.0,1755.0,1771.0,1819.0,1962.0,2203.0,2607.0,2526.0,2345.0,2399.0,2436.0,2251.0,2126.0,1812.0,1848.0,1957.0,2047.0,2191.0,2170.0,2224.0,2405.0,2684.0,2850.0,2865.0,2721.0,3019.0,3001.0,2857.0,2558.0,2360.0,2319.0,2265.0,2008.0,1878.0,1609.0,1336.0,1191.0,1085.0,976.0,794.0,795.0,936.0,1021.0,918.0,757.0,690.0,541.0,360.0,213.0
51,1211.0,באר שבע,1231.0,1241.0,1274.0,1060.0,1077.0,1010.0,966.0,1040.0,1065.0,1082.0,1312.0,1469.0,1804.0,1768.0,1535.0,1567.0,1588.0,1343.0,1273.0,953.0,979.0,1110.0,1149.0,1264.0,1244.0,1472.0,1841.0,2283.0,2531.0,2801.0,2745.0,3212.0,3048.0,2746.0,2305.0,2082.0,1916.0,1867.0,1551.0,1491.0,1321.0,1140.0,1084.0,1004.0,970.0,796.0,899.0,1029.0,1144.0,1025.0,865.0,781.0,636.0,371.0,241.0
52,1212.0,נהרייה,542.0,554.0,555.0,464.0,474.0,439.0,442.0,431.0,441.0,436.0,520.0,600.0,729.0,724.0,662.0,686.0,717.0,617.0,580.0,462.0,458.0,496.0,502.0,541.0,550.0,611.0,715.0,847.0,976.0,1050.0,1014.0,1134.0,1072.0,991.0,873.0,769.0,702.0,689.0,597.0,562.0,493.0,395.0,337.0,323.0,288.0,226.0,249.0,295.0,328.0,289.0,232.0,217.0,,,
53,1214.0,זכרון יעקב,549.0,570.0,590.0,489.0,487.0,481.0,452.0,468.0,468.0,486.0,544.0,623.0,719.0,710.0,651.0,671.0,698.0,681.0,649.0,594.0,612.0,649.0,667.0,697.0,664.0,690.0,743.0,822.0,873.0,878.0,854.0,931.0,925.0,896.0,807.0,778.0,783.0,750.0,693.0,652.0,535.0,451.0,382.0,336.0,314.0,277.0,282.0,348.0,404.0,376.0,328.0,297.0,221.0,,
54,1215.0,יהוד,505.0,519.0,525.0,466.0,453.0,434.0,416.0,408.0,406.0,422.0,461.0,536.0,646.0,656.0,592.0,614.0,620.0,581.0,553.0,480.0,483.0,516.0,550.0,616.0,641.0,684.0,745.0,877.0,928.0,953.0,894.0,930.0,900.0,858.0,744.0,740.0,751.0,755.0,704.0,700.0,608.0,510.0,423.0,359.0,332.0,282.0,264.0,311.0,348.0,319.0,259.0,224.0,,,
55,1216.0,קריית ביאליק,520.0,530.0,549.0,472.0,479.0,456.0,439.0,422.0,433.0,435.0,487.0,562.0,665.0,662.0,592.0,602.0,599.0,538.0,492.0,407.0,386.0,434.0,446.0,505.0,507.0,538.0,616.0,727.0,793.0,862.0,801.0,900.0,862.0,792.0,684.0,618.0,571.0,576.0,492.0,477.0,418.0,355.0,321.0,287.0,263.0,227.0,234.0,273.0,286.0,245.0,,,,,
56,1217.0,קריית ים,231.0,238.0,241.0,208.0,209.0,,,,,,,234.0,293.0,290.0,259.0,264.0,268.0,248.0,223.0,,,,213.0,241.0,228.0,280.0,342.0,429.0,503.0,552.0,538.0,652.0,626.0,578.0,499.0,414.0,388.0,381.0,289.0,261.0,227.0,,,,,,,,,,,,,,
57,1218.0,הוד השרון,1340.0,1373.0,1407.0,1256.0,1258.0,1204.0,1223.0,1199.0,1208.0,1213.0,1407.0,1588.0,1888.0,1822.0,1685.0,1731.0,1778.0,1636.0,1562.0,1329.0,1396.0,1493.0,1572.0,1711.0,1663.0,1735.0,1868.0,2085.0,2192.0,2228.0,2088.0,2317.0,2291.0,2195.0,1951.0,1859.0,1838.0,1847.0,1718.0,1599.0,1382.0,1173.0,1059.0,992.0,911.0,784.0,839.0,978.0,1097.0,981.0,797.0,714.0,543.0,344.0,202.0
